#probeset	sample-1	sample-2	sample-3	sample-4	sample-5	sample-6
Q5MBR3	478.243415	830.440878	1100.243415	981.512646	704.992349	482.262101
D0TZF0	261.395468	231.031834	301.605527	426.84154	447.243415	392.519656
Q6ZG77	3006.713147	1732.31783	1430.780379	1596.420213	2588.963853	2923.243415
Q2QNM9	5079.345586	6107.397261	5041.904379	2923.12803	2504.527743	2861.13692
Q5NBQ1	204.781876	212.876599	180.239779	200.787211	314.696447	608.878932
Q6K969	681.637362	462.628729	341.229246	357.538181	674.629706	795.897787
Q339V1	1624.393248	3519.012646	5473.02835	5511.55477	3104.885117	1883.089569
A9CM06	4286.490125	5950.303214	8285.897261	9128.935723	7392.934086	5208.982221
Q7XUH5	215.220999	407.791151	775.54568	1084.174941	1021.962522	537.248323
Q6YTI6	382.607882	484.906132	755.935723	971.835695	805.179618	488.48417
Q5JNB0	959.880655	1361.750331	1814.108902	2059.034093	1444.558982	1221.012646
Q65XM9	94.187098	165.995252	719.701596	1513.781876	1191.140937	608.228744
Q6ZGW6	114.259885	179.512033	308.243415	357.701733	247.690067	167.796192
B7EM60	35.696747	75.373266	337.166492	1221.042897	186.272088	217.391089
Q7XTH0	221.551107	129.538613	104.790631	166.337742	264.94454	278.265148
Q9SE42	303.902942	1627.066688	1438.206654	169.935723	20.078523	31.13558
Q688Q8	2265.243415	1280.040198	771.551107	430.940403	763.502181	456.427697
Q7XEH2	1730.538416	3968.089569	5184.171765	5845.193277	3288.435723	1178.539285
Q75W16	1076.623324	1347.860121	1714.720974	1600.935723	1334.827246	1069.728606
Q8S5N2	234.243415	1442.842221	2409.934588	2070.3173	358.026549	204.805312
Q8S2G0	420.032368	598.255457	956.034196	1147.166492	753.384939	609.966853
Q6K1X7	11557.57639	11491.47418	7977.704953	2794.020544	1919.690051	3989.57188
Q0JB49	276.354534	278.876055	218.474184	284.963108	273.944441	902.451906
Q851L6	900.521406	1535.96565	703.810626	668.19365	752.313606	531.925851
Q53JP2	124.190999	128.371814	182.854181	221.306702	205.052171	146.133358
Q69LG7	665.502431	685.374878	84.220189	77.928921	178.474184	83.232212
P38419	341.684462	1064.858799	1260.29203	1044.511648	381.217635	306.01871
Q8H3A4	814.474184	1091.050315	1589.65124	1677.704953	1093.577109	691.025337
Q6ZAC1	27.876716	47.170477	61.504547	59.166953	27.142903	25.353464
Q9XGP7	142.023812	68.353035	526.977579	2233.833546	4172.822695	670.123799
Q6Z3A4	1023.62803	854.269456	647.677972	532.496546	622.498308	1003.914371
A3BI64	396.177242	1087.581274	2029.950859	2008.012646	771.038046	381.377797
Q6Z598	370.70616	364.243415	513.551381	649.360081	626.899608	484.072875
Q53KJ5	36.456893	54.011308	111.591468	161.474184	116.762303	82.371797
Q5U9F2	473.397261	1206.128582	1229.441014	813.52322	343.732209	359.465112
Q7G602	203.62803	333.83161	790.028081	760.790077	344.83483	316.585556
Q9XEA6	151.727537	93.815399	74.161873	103.630326	137.705326	160.94176
Q0JGK4	1048.779483	1300.199333	1505.571252	1753.914762	1418.803331	1106.541784
Q6K2E1	5827.930168	3676.814023	2539.041165	1693.493111	3096.546596	4212.002279
Q0JEK1	17.716928	280.070713	500.054433	395.166492	60.721745	26.632222
Q7G2H3	90.356937	74.409116	97.91697	200.797306	172.781876	91.907308
Q2RAP0	331.419345	511.525731	666.148368	660.380986	448.844423	249.137224
Q6H5Z4	795.918243	976.290367	1328.858799	1202.536856	695.254466	494.237015
Q7X7H9	1155.473143	1559.323878	3518.166492	5407.738817	3951.98846	1984.022671
A3BJI6	44.881935	151.364419	80.981784	36.911827	21.336278	23.83836
Q6Z3X5	316.140866	527.804885	669.177165	697.492044	372.255631	318.829602
Q6YZH8	2610.993823	2577.589569	2208.873575	1596.621952	1682.858799	2069.295043
Q8S5M6	175.730692	1527.257745	1990.345824	1374.201695	198.396188	114.078285
Q0J0P9	180.992731	197.781876	309.252409	369.693153	324.211869	223.83339
Q9LIZ8	970.545369	2700.254538	4111.277448	3797.07789	2129.62803	987.154418
Q852M2	2048.311177	1858.204953	1094.166492	478.098879	511.91282	1374.172082
Q2QQ95	1041.080084	1038.012646	654.572014	503.00158	597.935723	777.935723
Q8S5T1	481.621564	1508.796702	2492.781876	2788.983393	823.16983	242.266974
Q6Z4K7	53.0411	437.781876	676.974184	666.317222	313.320304	226.666986
Q337F0	3585.264379	3434.551107	1845.664032	681.778412	803.811785	2082.033177
Q10MB0	852.935723	1411.295742	1698.00428	841.089569	134.057654	239.089569
Q6Z8F4	2658.107501	4224.781876	4908.551352	2691.724204	1728.781876	759.397261
Q7XTK3	18.428574	45.715601	61.103469	17.163539	18.391995	19.703285
Q7XQ85	492.052665	313.012646	217.696773	178.892664	361.935723	1193.444126
Q8H3C9	212.736528	2137.457911	2449.861172	1740.98144	115.472167	152.493539
